year_ceremony,Category,name,film
1951,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, John Meehan;  Set Decoration:  Sam Comer, Ray Moyer",Sunset Blvd.
1951,ART DIRECTION (Color),"Art Direction:  Hans Dreier, Walter Tyler;  Set Decoration:  Sam Comer, Ray Moyer",Samson and Delilah
1951,CINEMATOGRAPHY,Robert Krasker,The Third Man
1951,CINEMATOGRAPHY,Robert Surtees,King Solomon's Mines
1951,COSTUME DESIGN (Black-and-White),"Edith Head, Charles LeMaire",All about Eve
1951,COSTUME DESIGN (Color),"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling",Samson and Delilah
1951,DIRECTING,Joseph L. Mankiewicz,All about Eve
1951,DOCUMENTARY (Feature),"Robert Snyder, Producer",The Titan: Story of Michelangelo
1951,DOCUMENTARY (Short Subject),"Edmund Reek, Producer",Why Korea?
1951,FILM EDITING,"Ralph E. Winters, Conrad A. Nervig",King Solomon's Mines
1951,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,Sunset Blvd.
1951,MUSIC (Scoring of a Musical Picture),"Adolph Deutsch, Roger Edens",Annie Get Your Gun
1951,MUSIC (Song),Music and Lyrics by Ray Evans and Jay Livingston,"Captain Carey, U.S.A."
1951,BEST PICTURE,20th Century-Fox,All about Eve
1951,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Gerald McBoing-Boing
1951,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Grandad of Races
1951,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",In Beaver Valley
1951,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",All about Eve
1951,SPECIAL EFFECTS,George Pal Productions,Destination Moon
1951,WRITING (Motion Picture Story),"Edna Anhalt, Edward Anhalt",Panic in the Streets
1951,WRITING (Adapted Screenplay),Joseph L. Mankiewicz,All about Eve
1951,WRITING (Story and Screenplay),"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",Sunset Blvd.
1951,HONORARY FOREIGN LANGUAGE FILM AWARD, The Walls of Malapaga - voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950.,
1951,HONORARY AWARD, George Murphy for his services in interpreting the film industry to the country at large.,
1951,HONORARY AWARD, Louis B. Mayer for distinguished service to the motion picture industry.,
1951,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,
1952,ART DIRECTION (Black-and-White),Art Direction:  Richard Day;  Set Decoration:  George James Hopkins,A Streetcar Named Desire
1952,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Preston Ames;  Set Decoration:  Edwin B. Willis, Keogh Gleason",An American in Paris
1952,CINEMATOGRAPHY,William C. Mellor,A Place in the Sun
1952,CINEMATOGRAPHY,Alfred Gilks; Ballet Photography by John Alton,An American in Paris
1952,COSTUME DESIGN (Black-and-White),Edith Head,A Place in the Sun
1952,COSTUME DESIGN (Color),"Orry-Kelly, Walter Plunkett, Irene Sharaff",An American in Paris
1952,DIRECTING,George Stevens,A Place in the Sun
1952,DOCUMENTARY (Feature),"Olle Nordemar, Producer",Kon-Tiki
1952,DOCUMENTARY (Short Subject),'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital',Benjy
1952,FILM EDITING,William Hornbeck,A Place in the Sun
1952,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,A Place in the Sun
1952,MUSIC (Scoring of a Musical Picture),"Johnny Green, Saul Chaplin",An American in Paris
1952,MUSIC (Song),Music by Hoagy Carmichael; Lyrics by Johnny Mercer,Here Comes the Groom
1952,BEST PICTURE,"Arthur Freed, Producer",An American in Paris
1952,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",The Two Mouseketeers
1952,SHORT SUBJECT (One-reel),"Robert Youngson, Producer",World of Kids
1952,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Nature's Half Acre
1952,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Great Caruso
1952,SPECIAL EFFECTS,Paramount,When Worlds Collide
1952,WRITING (Motion Picture Story),"Paul Dehn, James Bernard",Seven Days to Noon
1952,WRITING (Adapted Screenplay),"Michael Wilson, Harry Brown",A Place in the Sun
1952,WRITING (Story and Screenplay),Alan Jay Lerner,An American in Paris
1952,HONORARY FOREIGN LANGUAGE FILM AWARD, Rashomon - voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951.,
1952,HONORARY AWARD, Gene Kelly in appreciation of his versatility as an actor,
1952,IRVING G. THALBERG MEMORIAL AWARD,Arthur Freed,
1953,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Keogh Gleason",The Bad and the Beautiful
1953,ART DIRECTION (Color),Art Direction:  Paul Sheriff;  Set Decoration:  Marcel Vertes,Moulin Rouge
1953,CINEMATOGRAPHY,Robert Surtees,The Bad and the Beautiful
1953,CINEMATOGRAPHY,"Winton C. Hoch, Archie Stout",The Quiet Man
1953,COSTUME DESIGN (Black-and-White),Helen Rose,The Bad and the Beautiful
1953,COSTUME DESIGN (Color),Marcel Vertes,Moulin Rouge
1953,DIRECTING,John Ford,The Quiet Man
1953,DOCUMENTARY (Feature),"Irwin Allen, Producer",The Sea around Us
1953,DOCUMENTARY (Short Subject),"Norman McLaren, Producer",Neighbours
1953,FILM EDITING,"Elmo Williams, Harry Gerstad",High Noon
1953,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,High Noon
1953,MUSIC (Scoring of a Musical Picture),Alfred Newman,With a Song in My Heart
1953,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,High Noon
1953,BEST PICTURE,"Cecil B. DeMille, Producer",The Greatest Show on Earth
1953,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",Johann Mouse
1953,SHORT SUBJECT (One-reel),"Boris Vermont, Producer",Light in the Window: The Art of Vermeer
1953,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Water Birds
1953,SOUND RECORDING,London Film Sound Department,Breaking the Sound Barrier
1953,SPECIAL EFFECTS,Metro-Goldwyn-Mayer,Plymouth Adventure
1953,WRITING (Motion Picture Story),"Fredric M. Frank, Theodore St. John, Frank Cavett",The Greatest Show on Earth
1953,WRITING (Adapted Screenplay),Charles Schnee,The Bad and the Beautiful
1953,WRITING (Story and Screenplay),T. E. B. Clarke,The Lavender Hill Mob
1953,HONORARY FOREIGN LANGUAGE FILM AWARD,Forbidden Games - Best Foreign Language Film first released in the United States during 1952.,
1953,HONORARY AWARD, George Alfred Mitchell for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography.,
1953,HONORARY AWARD, Joseph M. Schenck for long and distinguished service to the motion picture industry.,
1953,HONORARY AWARD, Merian C. Cooper for his many innovations and contributions to the art of motion pictures.,
1953,HONORARY AWARD, Harold Lloyd,
1953,HONORARY AWARD, Bob Hope for his contribution to the laughter of the world,
1953,IRVING G. THALBERG MEMORIAL AWARD,Cecil B. DeMille,
1954,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Hugh Hunt",Julius Caesar
1954,ART DIRECTION (Color),"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Paul S. Fox",The Robe
1954,CINEMATOGRAPHY,Burnett Guffey,From Here to Eternity
1954,CINEMATOGRAPHY,Loyal Griggs,Shane
1954,COSTUME DESIGN (Black-and-White),Edith Head,Roman Holiday
1954,COSTUME DESIGN (Color),"Charles LeMaire, Emile Santiago",The Robe
1954,DIRECTING,Fred Zinnemann,From Here to Eternity
1954,DOCUMENTARY (Feature),"Walt Disney, Producer",The Living Desert
1954,DOCUMENTARY (Short Subject),"Walt Disney, Producer",The Alaskan Eskimo
1954,FILM EDITING,William Lyon,From Here to Eternity
1954,MUSIC (Music Score of a Dramatic or Comedy Picture),Bronislau Kaper,Lili
1954,MUSIC (Scoring of a Musical Picture),Alfred Newman,Call Me Madam
1954,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Calamity Jane
1954,BEST PICTURE,"Buddy Adler, Producer",From Here to Eternity
1954,SHORT SUBJECT (Cartoon),"Walt Disney, Producer","Toot, Whistle, Plunk and Boom"
1954,SHORT SUBJECT (One-reel),"Johnny Green, Producer",The Merry Wives of Windsor Overture
1954,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Bear Country
1954,SOUND RECORDING,"Columbia Studio Sound Department, John P. Livadary, Sound Director",From Here to Eternity
1954,SPECIAL EFFECTS,Paramount Studio,The War of the Worlds
1954,WRITING (Motion Picture Story),Dalton Trumbo,Roman Holiday
1954,WRITING (Adapted Screenplay),Daniel Taradash,From Here to Eternity
1954,WRITING (Story and Screenplay),"Charles Brackett, Walter Reisch, Richard Breen",Titanic
1954,HONORARY AWARD," Pete Smith for his witty and pungent observations on the American scene in his series of ""Pete Smith Specialties.""",
1954,HONORARY AWARD, 20th Century-Fox Film Corporation in recognition of their imagination,
1954,HONORARY AWARD, Joseph I. Breen for his conscientious,
1954,HONORARY AWARD, Bell and Howell Company for their pioneering and basic achievements in the advancement of the motion picture industry.,
1954,IRVING G. THALBERG MEMORIAL AWARD,George Stevens,
1955,ART DIRECTION (Black-and-White),Richard Day,On the Waterfront
1955,ART DIRECTION (Color),Art Direction:  John Meehan;  Set Decoration:  Emile Kuri,"20,000 Leagues under the Sea"
1955,CINEMATOGRAPHY,Boris Kaufman,On the Waterfront
1955,CINEMATOGRAPHY,Milton Krasner,Three Coins in the Fountain
1955,COSTUME DESIGN (Black-and-White),Edith Head,Sabrina
1955,COSTUME DESIGN (Color),Sanzo Wada,Gate of Hell
1955,DIRECTING,Elia Kazan,On the Waterfront
1955,DOCUMENTARY (Feature),"Walt Disney, Producer",The Vanishing Prairie
1955,DOCUMENTARY (Short Subject),World Wide Pictures and Morse Films,Thursday's Children
1955,FILM EDITING,Gene Milford,On the Waterfront
1955,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,The High and the Mighty
1955,MUSIC (Scoring of a Musical Picture),"Adolph Deutsch, Saul Chaplin",Seven Brides for Seven Brothers
1955,MUSIC (Song),Music by Jule Styne; Lyrics by Sammy Cahn,Three Coins in the Fountain
1955,BEST PICTURE,"Sam Spiegel, Producer",On the Waterfront
1955,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",When Magoo Flew
1955,SHORT SUBJECT (One-reel),"Robert Youngson, Producer",This Mechanical Age
1955,SHORT SUBJECT (Two-reel),"Denis Sanders and Terry Sanders, Producers",A Time Out of War
1955,SOUND RECORDING,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director",The Glenn Miller Story
1955,SPECIAL EFFECTS,Walt Disney Studios,"20,000 Leagues under the Sea"
1955,WRITING (Motion Picture Story),Philip Yordan,Broken Lance
1955,WRITING (Adapted Screenplay),George Seaton,The Country Girl
1955,WRITING (Story and Screenplay),Budd Schulberg,On the Waterfront
1955,HONORARY FOREIGN LANGUAGE FILM AWARD, Gate of Hell - Best Foreign Language Film first released in the United States during 1954.,
1955,HONORARY AWARD, Bausch & Lomb Optical Company for their contributions to the advancement of the motion picture industry.,
1955,HONORARY AWARD, Kemp R. Niver for the development of the Renovare Process which has made possible the restoration of the Library of Congress Paper Film Collection.,
1955,HONORARY AWARD, Greta Garbo for her unforgettable screen performances.,
1955,HONORARY AWARD, Danny Kaye for his unique talents,
1955,HONORARY AWARD, Jon Whiteley for his outstanding juvenile performance in The Little Kidnappers.,
1955,HONORARY AWARD, Vincent Winter for his outstanding juvenile performance in The Little Kidnappers.,
1956,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Tambi Larsen;  Set Decoration:  Sam Comer, Arthur Krams",The Rose Tattoo
1956,ART DIRECTION (Color),"Art Direction:  William Flannery, Jo Mielziner;  Set Decoration:  Robert Priestley",Picnic
1956,CINEMATOGRAPHY,James Wong Howe,The Rose Tattoo
1956,CINEMATOGRAPHY,Robert Burks,To Catch a Thief
1956,COSTUME DESIGN (Black-and-White),Helen Rose,I'll Cry Tomorrow
1956,COSTUME DESIGN (Color),Charles LeMaire,Love Is a Many-Splendored Thing
1956,DIRECTING,Delbert Mann,Marty
1956,DOCUMENTARY (Feature),"Nancy Hamilton, Producer",Helen Keller in Her Story
1956,DOCUMENTARY (Short Subject),"Walt Disney, Producer",Men against the Arctic
1956,FILM EDITING,"Charles Nelson, William A. Lyon",Picnic
1956,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,Love Is a Many-Splendored Thing
1956,MUSIC (Scoring of a Musical Picture),"Robert Russell Bennett, Jay Blackton, Adolph Deutsch",Oklahoma!
1956,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Love Is a Many-Splendored Thing
1956,BEST PICTURE,"Harold Hecht, Producer",Marty
1956,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Speedy Gonzales
1956,SHORT SUBJECT (One-reel),"Edmund Reek, Producer",Survival City
1956,SHORT SUBJECT (Two-reel),"Wilbur T. Blume, Producer",The Face of Lincoln
1956,SOUND RECORDING,"Todd-AO Sound Department, Fred Hynes, Sound Director",Oklahoma!
1956,SPECIAL EFFECTS,Paramount Studio,The Bridges at Toko-Ri
1956,WRITING (Motion Picture Story),Daniel Fuchs,Love Me or Leave Me
1956,WRITING (Adapted Screenplay),Paddy Chayefsky,Marty
1956,WRITING (Story and Screenplay),"William Ludwig, Sonya Levien",Interrupted Melody
1956,HONORARY FOREIGN LANGUAGE FILM AWARD, Samurai,
1957,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",Somebody Up There Likes Me
1957,ART DIRECTION (Color),"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",The King and I
1957,CINEMATOGRAPHY,Joseph Ruttenberg,Somebody Up There Likes Me
1957,CINEMATOGRAPHY,Lionel Lindon,Around the World in 80 Days
1957,COSTUME DESIGN (Black-and-White),Jean Louis,The Solid Gold Cadillac
1957,COSTUME DESIGN (Color),Irene Sharaff,The King and I
1957,DIRECTING,George Stevens,Giant
1957,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",The Silent World
1957,DOCUMENTARY (Short Subject),"Louis Clyde Stoumen, Producer",The True Story of the Civil War
1957,FILM EDITING,"Gene Ruggiero, Paul Weatherwax",Around the World in 80 Days
1957,FOREIGN LANGUAGE FILM,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada
1957,MUSIC (Music Score of a Dramatic or Comedy Picture),Victor Young,Around the World in 80 Days
1957,MUSIC (Scoring of a Musical Picture),"Alfred Newman, Ken Darby",The King and I
1957,MUSIC (Song),Music and Lyrics by Jay Livingston and Ray Evans,The Man Who Knew Too Much
1957,BEST PICTURE,"Michael Todd, Producer",Around the World in 80 Days
1957,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Mister Magoo's Puddle Jumper
1957,SHORT SUBJECT (One-reel),"Konstantin Kalser, Producer",Crashing the Water Barrier
1957,SHORT SUBJECT (Two-reel),Romulus Films,The Bespoke Overcoat
1957,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",The King and I
1957,SPECIAL EFFECTS,John Fulton,The Ten Commandments
1957,WRITING (Motion Picture Story),Dalton Trumbo,The Brave One
1957,WRITING (Adapted Screenplay),"James Poe, John Farrow, S.J. Perelman",Around the World in 80 Days
1957,WRITING (Screenplay--Original),Albert Lamorisse,The Red Balloon
1957,JEAN HERSHOLT HUMANITARIAN AWARD,Y. Frank Freeman,
1957,HONORARY AWARD, Eddie Cantor for distinguished service to the film industry.,
1957,IRVING G. THALBERG MEMORIAL AWARD,Buddy Adler,
1958,PRODUCTION DESIGN,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,Sayonara
1958,CINEMATOGRAPHY,Jack Hildyard,The Bridge on the River Kwai
1958,COSTUME DESIGN,Orry-Kelly,Les Girls
1958,DIRECTING,David Lean,The Bridge on the River Kwai
1958,DOCUMENTARY (Feature),"Jerome Hill, Producer",Albert Schweitzer
1958,FILM EDITING,Peter Taylor,The Bridge on the River Kwai
1958,FOREIGN LANGUAGE FILM,Italy,The Nights of Cabiria
1958,MUSIC (Scoring),Malcolm Arnold,The Bridge on the River Kwai
1958,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,The Joker Is Wild
1958,BEST PICTURE,"Sam Spiegel, Producer",The Bridge on the River Kwai
1958,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Birds Anonymous
1958,SHORT SUBJECT (Live Action),"Larry Lansburgh, Producer",The Wetback Hound
1958,SOUND RECORDING,"Warner Bros. Studio Sound Department, George Groves, Sound Director",Sayonara
1958,SPECIAL EFFECTS,Audible Effects by Walter Rossi,The Enemy Below
1958,WRITING (Adapted Screenplay),"Michael Wilson, Carl Foreman, Pierre Boulle",The Bridge on the River Kwai
1958,WRITING (Story and Screenplay--written directly for the screen),George Wells,Designing Woman
1958,JEAN HERSHOLT HUMANITARIAN AWARD,Samuel Goldwyn,
1958,HONORARY AWARD, Charles Brackett for outstanding service to the Academy.,
1958,HONORARY AWARD, B.B. Kahane for distinguished service to the motion picture industry.,
1958,HONORARY AWARD," Gilbert M. (""Broncho Billy"") Anderson",
1958,HONORARY AWARD, The Society of Motion Picture and Television Engineers for their contributions to the advancement of the motion picture industry.,
1959,PRODUCTION DESIGN,"Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason",Gigi
1959,CINEMATOGRAPHY,Sam Leavitt,The Defiant Ones
1959,CINEMATOGRAPHY,Joseph Ruttenberg,Gigi
1959,COSTUME DESIGN,Cecil Beaton,Gigi
1959,DIRECTING,Vincente Minnelli,Gigi
1959,DOCUMENTARY (Feature),"Ben Sharpsteen, Producer",White Wilderness
1959,DOCUMENTARY (Short Subject),"Ben Sharpsteen, Producer",Ama Girls
1959,FILM EDITING,Adrienne Fazan,Gigi
1959,FOREIGN LANGUAGE FILM,France,My Uncle
1959,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,The Old Man and the Sea
1959,MUSIC (Scoring of a Musical Picture),Andre Previn,Gigi
1959,MUSIC (Song),Music by Frederick Loewe; Lyrics by Alan Jay Lerner,Gigi
1959,BEST PICTURE,"Arthur Freed, Producer",Gigi
1959,SHORT SUBJECT (Cartoon),"John W. Burton, Producer",Knighty Knight Bugs
1959,SHORT SUBJECT (Live Action),"Walt Disney, Producer",Grand Canyon
1959,SOUND,"Todd-AO Sound Department, Fred Hynes, Sound Director",South Pacific
1959,SPECIAL EFFECTS,Visual Effects by Tom Howard,tom thumb
1959,WRITING (Adapted Screenplay),Alan Jay Lerner,Gigi
1959,WRITING (Story and Screenplay--written directly for the screen),"Nedrick Young, Harold Jacob Smith",The Defiant Ones
1959,HONORARY AWARD, Maurice Chevalier for his contributions to the world of entertainment for more than half a century.,
1959,IRVING G. THALBERG MEMORIAL AWARD,Jack L. Warner,
1960,ART DIRECTION (Black-and-White),"Art Direction:  Lyle R. Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",The Diary of Anne Frank
1960,ART DIRECTION (Color),"Art Direction:  William A. Horning, Edward Carfagno;  Set Decoration:  Hugh Hunt",Ben-Hur
1960,CINEMATOGRAPHY,William C. Mellor,The Diary of Anne Frank
1960,CINEMATOGRAPHY,Robert L. Surtees,Ben-Hur
1960,COSTUME DESIGN (Black-and-White),Orry-Kelly,Some Like It Hot
1960,COSTUME DESIGN (Color),Elizabeth Haffenden,Ben-Hur
1960,DIRECTING,William Wyler,Ben-Hur
1960,DOCUMENTARY (Feature),"Bernhard Grzimek, Producer",Serengeti Shall Not Die
1960,DOCUMENTARY (Short Subject),"Bert Haanstra, Producer",Glass
1960,FILM EDITING,"Ralph E. Winters, John D. Dunning",Ben-Hur
1960,FOREIGN LANGUAGE FILM,France,Black Orpheus
1960,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,Ben-Hur
1960,MUSIC (Scoring of a Musical Picture),"Andre Previn, Ken Darby",Porgy and Bess
1960,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,A Hole in the Head
1960,BEST PICTURE,"Sam Zimbalist, Producer",Ben-Hur
1960,SHORT SUBJECT (Cartoon),"John Hubley, Producer",Moonbird
1960,SHORT SUBJECT (Live Action),"Jacques-Yves Cousteau, Producer",The Golden Fish
1960,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Ben-Hur
1960,SPECIAL EFFECTS,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",Ben-Hur
1960,WRITING (Adapted Screenplay),Neil Paterson,Room at the Top
1960,WRITING (Story and Screenplay--written directly for the screen),"Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin",Pillow Talk
1960,JEAN HERSHOLT HUMANITARIAN AWARD,Bob Hope,
1960,HONORARY AWARD, Lee De Forest for his pioneering inventions which brought sound to the motion picture.,
1960,HONORARY AWARD, Buster Keaton for his unique talents which brought immortal comedies to the screen.,
1961,ART DIRECTION (Black-and-White),Art Direction:  Alexander Trauner;  Set Decoration:  Edward G. Boyle,The Apartment
1961,ART DIRECTION (Color),"Art Direction:  Alexander Golitzen, Eric Orbom;  Set Decoration:  Russell A. Gausman, Julia Heron",Spartacus
1961,CINEMATOGRAPHY,Freddie Francis,Sons and Lovers
1961,CINEMATOGRAPHY,Russell Metty,Spartacus
1961,COSTUME DESIGN (Black-and-White),"Edith Head, Edward Stevenson",The Facts of Life
1961,COSTUME DESIGN (Color),"Valles, Bill Thomas",Spartacus
1961,DIRECTING,Billy Wilder,The Apartment
1961,DOCUMENTARY (Feature),"Larry Lansburgh, Producer",The Horse with the Flying Tail
1961,DOCUMENTARY (Short Subject),"James Hill, Producer",Giuseppina
1961,FILM EDITING,Daniel Mandell,The Apartment
1961,FOREIGN LANGUAGE FILM,Sweden,The Virgin Spring
1961,MUSIC (Music Score of a Dramatic or Comedy Picture),Ernest Gold,Exodus
1961,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, Harry Sukman",Song without End (The Story of Franz Liszt)
1961,MUSIC (Song),Music and Lyrics by Manos Hadjidakis,Never on Sunday
1961,BEST PICTURE,"Billy Wilder, Producer",The Apartment
1961,SHORT SUBJECT (Cartoon),"William L. Snyder, Producer",Munro
1961,SHORT SUBJECT (Live Action),"Ezra R. Baker, Producer",Day of the Painter
1961,SOUND,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",The Alamo
1961,SPECIAL EFFECTS,"Visual Effects by Gene Warren, Tim Baar",The Time Machine
1961,WRITING (Adapted Screenplay),Richard Brooks,Elmer Gantry
1961,WRITING (Story and Screenplay--written directly for the screen),"Billy Wilder, I. A. L. Diamond",The Apartment
1961,JEAN HERSHOLT HUMANITARIAN AWARD,Sol Lesser,
1961,HONORARY AWARD, Gary Cooper for his many memorable screen performances and the international recognition he,
1961,HONORARY AWARD, Stan Laurel for his creative pioneering in the field of cinema comedy.,
1961,HONORARY AWARD, Hayley Mills for Pollyanna,
1962,ART DIRECTION (Black-and-White),Art Direction:  Harry Horner;  Set Decoration:  Gene Callahan,The Hustler
1962,ART DIRECTION (Color),Art Direction:  Boris Leven;  Set Decoration:  Victor A. Gangelin,West Side Story
1962,CINEMATOGRAPHY,Eugen Shuftan,The Hustler
1962,CINEMATOGRAPHY,Daniel L. Fapp,West Side Story
1962,COSTUME DESIGN (Black-and-White),Piero Gherardi,La Dolce Vita
1962,COSTUME DESIGN (Color),Irene Sharaff,West Side Story
1962,DIRECTING,"Robert Wise, Jerome Robbins",West Side Story
1962,DOCUMENTARY (Feature),"Arthur Cohn and Rene Lafuite, Producers",Le Ciel et la Boue (Sky Above and Mud Beneath)
1962,DOCUMENTARY (Short Subject),"Frank P. Bibas, Producer",Project Hope
1962,FILM EDITING,Thomas Stanford,West Side Story
1962,FOREIGN LANGUAGE FILM,Sweden,Through a Glass Darkly
1962,MUSIC (Music Score of a Dramatic or Comedy Picture),Henry Mancini,Breakfast at Tiffany's
1962,MUSIC (Scoring of a Musical Picture),"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",West Side Story
1962,MUSIC (Song),Music by Henry Mancini; Lyrics by Johnny Mercer,Breakfast at Tiffany's
1962,BEST PICTURE,"Robert Wise, Producer",West Side Story
1962,SHORT SUBJECT (Cartoon),Zagreb Film,Ersatz (The Substitute)
1962,SHORT SUBJECT (Live Action),Templar Film Studios,Seawards the Great Ships
1962,SOUND,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",West Side Story
1962,SPECIAL EFFECTS,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham,The Guns of Navarone
1962,WRITING (Adapted Screenplay),Abby Mann,Judgment at Nuremberg
1962,WRITING (Story and Screenplay--written directly for the screen),William Inge,Splendor in the Grass
1962,JEAN HERSHOLT HUMANITARIAN AWARD,George Seaton,
1962,HONORARY AWARD, William L. Hendricks for his outstanding patriotic service in the conception,
1962,HONORARY AWARD, Fred L. Metzler for his dedication and outstanding service to the Academy of Motion Picture Arts and Sciences.,
1962,HONORARY AWARD, Jerome Robbins for his brilliant achievements in the art of choreography on film.,
1962,IRVING G. THALBERG MEMORIAL AWARD,Stanley Kramer,
1963,ART DIRECTION (Black-and-White),"Art Direction:  Alexander Golitzen, Henry Bumstead;  Set Decoration:  Oliver Emert",To Kill a Mockingbird
1963,ART DIRECTION (Color),"Art Direction:  John Box, John Stoll;  Set Decoration:  Dario Simoni",Lawrence of Arabia
1963,CINEMATOGRAPHY,"Jean Bourgoin, Walter Wottitz, (Henri Persin)",The Longest Day
1963,CINEMATOGRAPHY,Fred A. Young,Lawrence of Arabia
1963,COSTUME DESIGN (Black-and-White),Norma Koch,What Ever Happened to Baby Jane?
1963,COSTUME DESIGN (Color),Mary Wills,The Wonderful World of the Brothers Grimm
1963,DIRECTING,David Lean,Lawrence of Arabia
1963,DOCUMENTARY (Feature),"Louis Clyde Stoumen, Producer",Black Fox
1963,DOCUMENTARY (Short Subject),"Jack Howells, Producer",Dylan Thomas
1963,FILM EDITING,Anne Coates,Lawrence of Arabia
1963,FOREIGN LANGUAGE FILM,France,Sundays and Cybele
1963,MUSIC (Music Score--substantially original),Maurice Jarre,Lawrence of Arabia
1963,MUSIC (Scoring of Music--adaptation or treatment),Ray Heindorf,Meredith Willson's The Music Man
1963,MUSIC (Song),Music by Henry Mancini; Lyrics by Johnny Mercer,Days of Wine and Roses
1963,BEST PICTURE,"Sam Spiegel, Producer",Lawrence of Arabia
1963,SHORT SUBJECT (Cartoon),"John Hubley and Faith Hubley, Producers",The Hole
1963,SHORT SUBJECT (Live Action),"Pierre Etaix and J.C. Carrière, Producers",Heureux Anniversaire (Happy Anniversary)
1963,SOUND,"Shepperton Studio Sound Department, John Cox, Sound Director",Lawrence of Arabia
1963,SPECIAL EFFECTS,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont,The Longest Day
1963,WRITING (Adapted Screenplay),Horton Foote,To Kill a Mockingbird
1963,WRITING (Story and Screenplay--written directly for the screen),"Ennio de Concini, Alfredo Giannetti, Pietro Germi",Divorce--Italian Style
1963,JEAN HERSHOLT HUMANITARIAN AWARD,Steve Broidy,
