director_name,ceremony,year,category,outcome,original_language
Steven Spielberg,"Golden Eagle Awards, Russia",2017,Golden Eagle,Nominated,en
Tim Burton,"Globes de Cristal Awards, France",2017,Globe de Cristal,Nominated,en
Ridley Scott,"Directors Guild of America, USA",2017,Lifetime Achievement Award,Won,en
Michael Glawogger,Fรผnf Seen Film Festival,2017,Documentary Award,Won,de
Michael Glawogger,Madrid International Documentary Film Festival,2017,Best Feature-Length Documentary,Nominated,de
Michael Glawogger,Millennium Docs Against Gravity,2017,Documentary Academy Award,Nominated,de
Susanne Bier,BAFTA Awards,2017,BAFTA TV Award,Nominated,da
Susanne Bier,PGA Awards,2017,PGA Award,Nominated,da
Martin Scorsese,AARP Movies for Grownups Awards,2017,Movies for Grownups Award,Nominated,en
Martin Scorsese,Denver Film Critics Society,2017,DFCS Award,Nominated,en
Martin Scorsese,Georgia Film Critics Association (GFCA),2017,GFCA Award,Nominated,en
Martin Scorsese,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Martin Scorsese,International Cinephile Society Awards,2017,ICS Award,Nominated,en
Martin Scorsese,International Online Cinema Awards (INOCA),2017,INOCA,Nominated,en
Lone Scherfig,Gรถteborg Film Festival,2017,Audience Award,Won,en
Lone Scherfig,Gรถteborg Film Festival,2017,Nordic Honorary Dragon Award,Won,en
Kim Ki-duk,Sakhalin International Film Festival,2017,Grand Prix,Nominated,ko
Joel Coen,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Joel Coen,20/20 Awards,2017,Felix,Won,en
Joel Coen,20/20 Awards,2017,Felix,Nominated,en
Joel Coen,Alliance of Women Film Journalists,2017,EDA Award,Nominated,en
Joel Coen,"American Cinema Editors, USA",2017,Eddie,Nominated,en
Joel Coen,Yoga Awards,2017,Yoga Award,Won,en
Woody Allen,"Golden Eagle Awards, Russia",2017,Golden Eagle,Nominated,en
Wim Wenders,San Sebastiรกn International Film Festival,2017,Golden Seashell,Nominated,de
Robert Wise,Online Film & Television Association,2017,OFTA Film Hall of Fame,Won,en
Sofia Coppola,Cannes Film Festival,2017,Best Director,Won,en
Sofia Coppola,Cannes Film Festival,2017,Palme d'Or,Nominated,en
Sofia Coppola,International Online Cinema Awards (INOCA),2017,Halfway Award,Won,en
Sofia Coppola,International Online Cinema Awards (INOCA),2017,Halfway Award,Nominated,en
Sofia Coppola,Jerusalem Film Festival,2017,The Wilf Family Foundation Award,Nominated,en
Sofia Coppola,Munich Film Festival,2017,ARRI/OSRAM Award,Nominated,en
Sofia Coppola,Provincetown International Film Festival,2017,Filmmaker on the Edge Award,Won,en
Sofia Coppola,Sydney Film Festival,2017,Sydney Film Prize,Nominated,en
Danny Boyle,20/20 Awards,2017,Felix,Nominated,en
William Shatner,"Canadian Screen Awards, CA",2017,Canadian Screen Award,Nominated,en
William Shatner,"Independent Filmmakers Showcase IFS Film Festival, US",2017,IFS Award,Won,en
William Shatner,"Los Angeles Cinema Festival of Hollywood, US",2017,Summer Award,Won,en
William Shatner,"Los Angeles Movie Awards, US",2017,Los Angeles Movie Award,Won,en
James Wan,iHorror Awards,2017,iHorror Award,Won,en
Mel Gibson,"Academy Awards, USA",2017,Oscar,Nominated,en
Mel Gibson,"Golden Globes, USA",2017,Golden Globe,Nominated,en
Mel Gibson,AACTA International Awards,2017,AACTA International Award,Won,en
Mel Gibson,Australian Film Critics Association Awards,2017,AFCA Award,Nominated,en
Mel Gibson,"Cinema Writers Circle Awards, Spain",2017,CEC Award,Won,en
Mel Gibson,Film Critics Circle of Australia Awards,2017,FCCA Award,Nominated,en
Mel Gibson,"North Texas Film Critics Association, US",2017,NTFCA Award,3rd place,en
Mel Gibson,Razzie Awards,2017,Redeemer Award,Won,en
Terry George,Heartland Film,2017,Truly Moving Picture Award,Won,en
Andrzej Wajda,Cleveland International Film Festival,2017,George Gund III Memorial Central and Eastern European Film Competition,Nominated,pl
Andrzej Wajda,Montclair Film Festival (MFF),2017,Narrative Feature Competition,Nominated,pl
Stephen Gaghan,"Golden Globes, USA",2017,Golden Globe,Nominated,en
Rob Reiner,WorldFest Houston,2017,Career Achievement Award,Won,en
David Mackenzie,AARP Movies for Grownups Awards,2017,Movies for Grownups Award,Nominated,en
David Mackenzie,Alliance of Women Film Journalists,2017,EDA Award,Nominated,en
David Mackenzie,Central Ohio Film Critics Association,2017,COFCA Award,Nominated,en
David Mackenzie,Houston Film Critics Society Awards,2017,HFCS Award,Nominated,en
David Mackenzie,North Carolina Film Critics Association,2017,NCFCA Award,Nominated,en
Oliver Stone,Sarajevo Film Festival,2017,Honorary Heart of Sarajevo,Won,en
Oliver Stone,"Writers Guild of America, USA",2017,Laurel Award for Screen Writing Achievement,Won,en
Chris Weitz,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
Chris Weitz,Hugo Awards,2017,Hugo,Nominated,en
Danny DeVito,Frameline San Francisco International LGBTQ Film Festival,2017,Audience Award,Won,en
Jonathan Demme,20/20 Awards,2017,Felix,Nominated,en
Miloลก Forman,20/20 Awards,2017,Felix,Nominated,en
Robert Redford,Venice Film Festival,2017,Golden Lion,Won,en
Franรงois Ozon,Cannes Film Festival,2017,Palme d'Or,Nominated,fr
Franรงois Ozon,"Cรฉsar Awards, France",2017,Cรฉsar,Nominated,fr
Franรงois Ozon,"Globes de Cristal Awards, France",2017,Globe de Cristal,Nominated,fr
Franรงois Ozon,International Online Cinema Awards (INOCA),2017,Halfway Award,Nominated,fr
Franรงois Ozon,Jerusalem Film Festival,2017,The Wilf Family Foundation Award,Nominated,fr
Franรงois Ozon,"Lumiere Awards, France",2017,Lumiere Award,Nominated,fr
Franรงois Ozon,Sedona International Film Festival,2017,Director's Choice Award,Won,fr
Jim Jarmusch,"Cinema Writers Circle Awards, Spain",2017,CEC Award,Nominated,en
Jim Jarmusch,FEST International Film Festival,2017,Audience Award,Won,en
Jim Jarmusch,Rotterdam International Film Festival,2017,MovieZone Award,Nominated,en
Thomas Vinterberg,Bodil Awards,2017,Bodil,Nominated,da
Thomas Vinterberg,Montclair Film Festival (MFF),2017,Narrative Feature Competition,Nominated,da
Thomas Vinterberg,Robert Festival,2017,Robert,Won,da
Thomas Vinterberg,Robert Festival,2017,Robert,Nominated,da
Andreas Dresen,Bucheon International Fantastic Film Festival,2017,BIFAN Children's Jury Award,Won,de
Liev Schreiber,"Golden Globes, USA",2017,Golden Globe,Nominated,en
Liev Schreiber,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Valeska Grisebach,Art Film Festival,2017,Blue Angel,Won,en
Valeska Grisebach,Art Film Festival,2017,Blue Angel,Nominated,en
Valeska Grisebach,Cannes Film Festival,2017,Un Certain Regard Award,Nominated,en
Valeska Grisebach,Fรผnf Seen Film Festival,2017,Audience Award,Nominated,en
Valeska Grisebach,Giornate degli autori - Venice Days,2017,Lux Prize,Nominated,en
Valeska Grisebach,Golden Apricot Yerevan International Film Festival,2017,Special Mention,Won,en
Valeska Grisebach,Golden Apricot Yerevan International Film Festival,2017,Golden Apricot,Nominated,en
Valeska Grisebach,Jameson CineFest - Miskolc International Film Festival,2017,Emeric Pressburger Prize,Won,en
Valeska Grisebach,Jerusalem Film Festival,2017,The Wilf Family Foundation Award - Honorable Mention,Won,en
Valeska Grisebach,Jerusalem Film Festival,2017,The Wilf Family Foundation Award,Nominated,en
Valeska Grisebach,Motovun Film Festival,2017,Propeller of Motovun,Won,en
Valeska Grisebach,Motovun Film Festival,2017,FIPRESCI Prize,Won,en
Valeska Grisebach,"T-Mobile New Horizons International Film Festival, Poland",2017,FIPRESCI Prize,Won,en
Valeska Grisebach,"T-Mobile New Horizons International Film Festival, Poland",2017,Grand Prix,Won,en
Fatih Akin,Cannes Film Festival,2017,Palme d'Or,Nominated,de
Fatih Akin,Zlin Film Festival,2017,Main Prize of the Youth Jury,Won,de
Barry Levinson,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Gus Van Sant,Palm Springs International Film Festival,2017,Audience Award,Won,en
Spike Lee,Black Reel Awards,2017,Black Reel,Nominated,en
Spike Lee,Black Reel Awards for Television,2017,Black Reel,Nominated,en
Paul Verhoeven,Alliance of Women Film Journalists,2017,EDA Award,Nominated,de
Paul Verhoeven,Cartagena Film Festival,2017,Gemas Award,Nominated,de
Paul Verhoeven,Cinema Brazil Grand Prize,2017,Cinema Brazil Grand Prize,Nominated,de
Paul Verhoeven,"Cinema Writers Circle Awards, Spain",2017,CEC Award,Nominated,de
Paul Verhoeven,"Cรฉsar Awards, France",2017,Cรฉsar,Won,de
Paul Verhoeven,"Cรฉsar Awards, France",2017,Cรฉsar,Nominated,de
Paul Verhoeven,Fotogramas de Plata,2017,Fotogramas de Plata,Won,de
Paul Verhoeven,French Syndicate of Cinema Critics,2017,Critics Award,Won,de
Paul Verhoeven,Gaudรญ Awards,2017,Gaudรญ Award,Won,de
Paul Verhoeven,Gold Derby Awards,2017,Gold Derby Award,Won,de
Paul Verhoeven,Goya Awards,2017,Goya,Won,de
Paul Verhoeven,International Cinephile Society Awards,2017,ICS Award,2nd place,de
Paul Verhoeven,International Online Cinema Awards (INOCA),2017,INOCA,Nominated,de
Paul Verhoeven,"Lumiere Awards, France",2017,Lumiere Award,Won,de
Paul Verhoeven,Sant Jordi Awards,2017,Sant Jordi,Won,de
Paul Verhoeven,Seattle Film Critics Awards,2017,Seattle Film Critics Award,Won,de
Paul Verhoeven,Seattle Film Critics Awards,2017,Seattle Film Critics Award,Nominated,de
Anthony Minghella,20/20 Awards,2017,Felix,Nominated,en
Roland Emmerich,Carl Laemmle Producers Award,2017,Carl Laemmle Producers Award,Won,en
Roland Emmerich,Razzie Awards,2017,Razzie Award,Nominated,en
Michael Haneke,Cannes Film Festival,2017,Palme d'Or,Nominated,de
Michael Haneke,Munich Film Festival,2017,ARRI/OSRAM Award,Nominated,de
Michael Haneke,Sydney Film Festival,2017,Sydney Film Prize,Nominated,de
Ron Howard,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Ron Howard,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
Ron Howard,Grammy Awards,2017,Grammy,Won,en
Baz Luhrmann,Guild of Music Supervisors Awards,2017,GMS Award,Won,en
Nick Hamm,Leo Awards,2017,Leo,Won,en
Darren Aronofsky,Film Independent Spirit Awards,2017,Independent Spirit Award,Nominated,en
Darren Aronofsky,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Darren Aronofsky,Jameson CineFest - Miskolc International Film Festival,2017,International Ecumenical Award,Nominated,en
Darren Aronofsky,Online Film & Television Association,2017,OFTA Film Award,Nominated,en
Darren Aronofsky,Venice Film Festival,2017,Golden Lion,Nominated,en
John Singleton,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
John Singleton,Black Reel Awards,2017,Black Reel,Won,en
John Singleton,"Directors Guild of America, USA",2017,DGA Award,Nominated,en
John Singleton,Image Awards,2017,Image Award,Won,en
Mira Nair,Alliance of Women Film Journalists,2017,EDA Female Focus Award,Nominated,en
Mira Nair,Image Awards,2017,Image Award,Nominated,en
Spike Jonze,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Agnรจs Varda,Adelaide Film Festival,2017,Foxtel Movies International Award,Nominated,fr
Agnรจs Varda,Cannes Film Festival,2017,Golden Eye,Won,fr
Agnรจs Varda,London Film Festival,2017,Grierson Award,Nominated,fr
Agnรจs Varda,Melbourne International Film Festival,2017,People's Choice Award,Nominated,fr
Agnรจs Varda,San Sebastiรกn International Film Festival,2017,Donostia Lifetime Achievement Award,Won,fr
Agnรจs Varda,Toronto International Film Festival,2017,People's Choice Award,Won,fr
Werner Herzog,German Film Critics Association Awards,2017,German Film Critics Award,Nominated,en
Werner Herzog,News & Documentary Emmy Awards,2017,Emmy,Nominated,en
Lee Tamahori,New Zealand Film and TV Awards (II),2017,Film Award,Nominated,en
Stรฉphane Brizรฉ,Jerusalem Film Festival,2017,The Wilf Family Foundation Award,Nominated,fr
Stรฉphane Brizรฉ,"Lumiere Awards, France",2017,Lumiere Award,Nominated,fr
Angela Robinson,Black Reel Awards for Television,2017,Black Reel,Nominated,en
David Fincher,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
David Fincher,PGA Awards,2017,PGA Award,Nominated,en
Sam Raimi,"Northeast Film Festival, US",2017,Festival Award,Nominated,en
Kevin Costner,AARP Movies for Grownups Awards,2017,Movies for Grownups Award,Nominated,en
Kevin Costner,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Kevin Costner,Palm Springs International Film Festival,2017,Ensemble Cast Award,Won,en
Kevin Costner,Screen Actors Guild Awards,2017,Actor,Won,en
Andrei Tarkovsky,Online Film & Television Association,2017,OFTA Film Hall of Fame,Won,ru
Mick Jackson,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
Bryan Singer,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
Sharon Maguire,Alliance of Women Film Journalists,2017,EDA Special Mention Award,Won,en
Sharon Maguire,"Globes de Cristal Awards, France",2017,Globe de Cristal,Nominated,en
Volker Schlรถndorff,Berlin International Film Festival,2017,Golden Berlin Bear,Nominated,de
Park Chan-wook,Alliance of Women Film Journalists,2017,EDA Award,Won,ko
Park Chan-wook,Asian Film Awards,2017,Asian Film Award,Nominated,ko
Park Chan-wook,Baek Sang Art Awards,2017,Baek Sang Film,Won,ko
Park Chan-wook,Baek Sang Art Awards,2017,Baek Sang Film,Nominated,ko
Park Chan-wook,Cartagena Film Festival,2017,Gemas Award,Nominated,ko
Park Chan-wook,Chunsa Film Art Awards,2017,Chunsa Film Art Award,Nominated,ko
Park Chan-wook,Gay and Lesbian Entertainment Critics Association (GALECA),2017,Dorian Award,Nominated,ko
Park Chan-wook,Gold Derby Awards,2017,Gold Derby Award,Nominated,ko
Park Chan-wook,International Online Cinema Awards (INOCA),2017,INOCA,Nominated,ko
Park Chan-wook,KOFRA Film Awards,2017,KOFRA Film Award,Won,ko
Park Chan-wook,North Carolina Film Critics Association,2017,NCFCA Award,Nominated,ko
Park Chan-wook,Seattle Film Critics Awards,2017,Seattle Film Critics Award,2nd place,ko
David Yates,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
David Yates,Yoga Awards,2017,Yoga Award,Won,en
John Waters,Gay and Lesbian Entertainment Critics Association (GALECA),2017,Timeless Award,Won,en
Jay Roach,"Directors Guild of America, USA",2017,DGA Award,Nominated,en
Jane Campion,Melbourne International Film Festival,2017,People's Choice Award,Nominated,en
Edgar Wright,SXSW Film Festival,2017,Audience Award,Won,en
John Cassavetes,Online Film & Television Association,2017,OFTA Film Hall of Fame,Won,en
Jean Renoir,Online Film & Television Association,2017,OFTA Film Hall of Fame,Won,fr
Jan Svฤrรกk,20/20 Awards,2017,Felix,Nominated,cs
Cameron Crowe,20/20 Awards,2017,Felix,Nominated,en
Jiลรญ Menzel,Jameson CineFest - Miskolc International Film Festival,2017,Lifetime Achievement Award,Won,cs
John Carpenter,CinEuphoria Awards,2017,CinEuphoria,Won,en
Ron Clements,"Academy Awards, USA",2017,Oscar,Nominated,en
Ron Clements,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
Ron Clements,Alliance of Women Film Journalists,2017,EDA Award,Nominated,en
Ron Clements,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Ron Clements,Online Film & Television Association,2017,OFTA Film Award,Nominated,en
Ron Clements,Seattle Film Critics Awards,2017,Seattle Film Critics Award,Nominated,en
Vittorio De Sica,Online Film & Television Association,2017,OFTA Film Hall of Fame,Won,it
Martin Koolhoven,Film Festival Oostende,2017,Ensor,Won,nl
Martin Koolhoven,"Golden and Platin Film, Netherlands",2017,Golden Film,Won,nl
Martin Koolhoven,Jameson CineFest - Miskolc International Film Festival,2017,International Ecumenical Award,Nominated,nl
Martin Koolhoven,Palm Springs International Film Festival,2017,Audience Award,Nominated,nl
Martin Koolhoven,"Political Film Society, USA",2017,PFS Award,Nominated,nl
Zack Snyder,Razzie Awards,2017,Razzie Award,Nominated,en
Eric Darnell,Daytime Emmy Awards,2017,Daytime Emmy,Won,en
J.J. Abrams,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
J.J. Abrams,"American Cinema Editors, USA",2017,Golden Eddie Filmmaker of the Year Award,Won,en
J.J. Abrams,PGA Awards,2017,PGA Award,Nominated,en
Mel Brooks,BAFTA Awards,2017,Academy Fellowship,Won,en
Stefan Ruzowitzky,MOTELx - Festival Internacional de Cinema de Terror de Lisboa,2017,MOTELx Award,Won,de
Stefan Ruzowitzky,"Romy Gala, Austria",2017,Romy,Won,de
Emir Kusturica,Golden Knight Film Festival,2017,Grand Prix,Won,en
Niki Caro,Heartland Film,2017,Truly Moving Picture Award,Won,en
Niki Caro,"Political Film Society, USA",2017,PFS Award,Nominated,en
Niki Caro,Seattle Jewish Film Festival,2017,Audience Choice Award,Won,en
Ken Loach,BAFTA Awards,2017,BAFTA Film Award,Won,en
Ken Loach,BAFTA Awards,2017,David Lean Award for Direction,Nominated,en
Ken Loach,Bodil Awards,2017,Bodil,Nominated,en
Ken Loach,"Cinema Writers Circle Awards, Spain",2017,CEC Award,Nominated,en
Ken Loach,CinEuphoria Awards,2017,CinEuphoria,Won,en
Ken Loach,"Cรฉsar Awards, France",2017,Cรฉsar,Won,en
Ken Loach,"Empire Awards, UK",2017,Empire Award,Nominated,en
Ken Loach,Goya Awards,2017,Goya,Nominated,en
Ken Loach,Robert Festival,2017,Robert,Nominated,en
Ken Loach,Seattle International Film Festival,2017,Golden Space Needle Award,3rd place,en
Ken Loach,Turia Awards,2017,Audience Award,Won,en
Fernando Leรณn de Aranoa,CPH:DOX,2017,F:ACT Award,Nominated,es
Sylvester Stallone,Jupiter Award,2017,Jupiter Award,Nominated,en
Robert De Niro,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Robert De Niro,Alliance of Women Film Journalists,2017,EDA Special Mention Award,Nominated,en
Robert De Niro,Film Society of Lincoln Center,2017,Gala Tribute,Won,en
Robert De Niro,Gold Derby Awards,2017,Gold Derby TV Award,Nominated,en
Robert De Niro,Razzie Awards,2017,Razzie Award,Nominated,en
Bong Joon-ho,Cannes Film Festival,2017,Palme d'Or,Nominated,ko
David Ayer,Alliance of Women Film Journalists,2017,EDA Special Mention Award,Nominated,en
David Ayer,Razzie Awards,2017,Razzie Award,Nominated,en
John Cameron Mitchell,Cannes Film Festival,2017,Queer Palm,Nominated,en
Todd Haynes,Argentinean Film Critics Association Awards,2017,Silver Condor,Won,en
Todd Haynes,Bodil Awards,2017,Bodil,Nominated,en
Todd Haynes,Cannes Film Festival,2017,Palme d'Or,Nominated,en
Todd Haynes,International Cinephile Society Awards,2017,ICS Cannes Award,Won,en
Todd Haynes,Locarno International Film Festival,2017,Lifetime Achievement Award,Won,en
Todd Haynes,Robert Festival,2017,Robert,Nominated,en
Todd Haynes,Sant Jordi Awards,2017,Rosa de Sant Jordi Audience Award,Won,en
Fenton Bailey,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Fenton Bailey,"Cinema Eye Honors Awards, US",2017,Cinema Eye Honors Award,Nominated,en
Fenton Bailey,Daytime Emmy Awards,2017,Daytime Emmy,Won,en
Guillermo del Toro,Daytime Emmy Awards,2017,Daytime Emmy,Won,en
Guillermo del Toro,Venice Film Festival,2017,Golden Lion,Won,en
Guillermo del Toro,Venice Film Festival,2017,Future Film Festival Digital Award,Won,en
Guillermo del Toro,Venice Film Festival,2017,CICT-UNESCO C. Smithers Foundation Award,Won,en
Lars Kraume,German Television Awards,2017,German Television Award,Won,de
Laurent Cantet,Cannes Film Festival,2017,Un Certain Regard Award,Nominated,en
Mike Judge,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Mike Judge,"Directors Guild of America, USA",2017,DGA Award,Nominated,en
Mike Judge,PGA Awards,2017,PGA Award,Nominated,en
Mike Judge,"Writers Guild of America, USA",2017,Animation Writers Caucus Animation Award,Won,en
Mike Judge,"Writers Guild of America, USA",2017,WGA Award (TV),Nominated,en
Mike Mills,"Academy Awards, USA",2017,Oscar,Nominated,en
Mike Mills,Alliance of Women Film Journalists,2017,EDA Award,Nominated,en
Mike Mills,Film Independent Spirit Awards,2017,Independent Spirit Award,Nominated,en
Mike Mills,Gay and Lesbian Entertainment Critics Association (GALECA),2017,Dorian Award,Nominated,en
Mike Mills,International Online Cinema Awards (INOCA),2017,INOCA,Won,en
Mike Mills,North Carolina Film Critics Association,2017,NCFCA Award,Nominated,en
Abdellatif Kechiche,Venice Film Festival,2017,Golden Lion,Nominated,fr
Jacques Audiard,BAFTA Awards,2017,BAFTA Film Award,Nominated,fr
Agnieszka Holland,Berlin International Film Festival,2017,Silver Berlin Bear,Won,en
Agnieszka Holland,Berlin International Film Festival,2017,Golden Berlin Bear,Nominated,en
Agnieszka Holland,Fantasia Film Festival,2017,Cheval Noir,Won,en
Agnieszka Holland,Motovun Film Festival,2017,Maverick,Won,en
Agnieszka Holland,Neuchรขtel International Fantastic Film Festival,2017,Silver Mรฉliรจs Award,Nominated,en
Shawn Levy,"Academy Awards, USA",2017,Oscar,Nominated,en
Shawn Levy,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Shawn Levy,BAFTA Awards,2017,BAFTA Film Award,Nominated,en
Shawn Levy,BAFTA Awards,2017,BAFTA TV Award,Nominated,en
Shawn Levy,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Shawn Levy,Online Film & Television Association,2017,OFTA Film Award,Nominated,en
Shawn Levy,PGA Awards,2017,PGA Award,Won,en
Shawn Levy,PGA Awards,2017,PGA Award,Nominated,en
Dominik Moll,Tromsรธ International Film Festival,2017,Aurora Award,Nominated,fr
Bronwen Hughes,Manchester International Film Festival (MANIFF),2017,Jury Special Mention,Won,en
Bronwen Hughes,Santa Barbara International Film Festival,2017,Panavision Spirit Award for Independent Cinema,Nominated,en
Irwin Winkler,Gold Derby Awards,2017,Gold Derby Award,Nominated,en
Irwin Winkler,PGA Awards,2017,Lifetime Achievement Award in Motion Pictures,Won,en
Stephen Herek,MovieGuide Awards,2017,Epiphany Prize,Won,en
Taylor Hackford,20/20 Awards,2017,Felix,Won,en
Taylor Hackford,20/20 Awards,2017,Felix,Nominated,en
Steven Zaillian,Primetime Emmy Awards,2017,Primetime Emmy,Nominated,en
Steven Zaillian,"Directors Guild of America, USA",2017,DGA Award,Won,en
Steven Zaillian,PGA Awards,2017,PGA Award,Nominated,en
Steven Zaillian,"Writers Guild of America, USA",2017,WGA Award (TV),Nominated,en
Jon Favreau,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
Jon Favreau,Bodil Awards,2017,Streaming Award,Nominated,en
Jon Favreau,"Cinema Audio Society, USA",2017,Filmmaker Award,Won,en
John Sayles,20/20 Awards,2017,Felix,Nominated,en
Gilles Bourdos,Venice Film Festival,2017,Venice Horizons Award,Nominated,fr
Anthony Russo,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
Anthony Russo,Image Awards,2017,Image Award,Nominated,en
Sam Garbarski,Norwegian International Film Festival,2017,Audience Award,Won,de
Marc Webb,Deauville Film Festival,2017,Audience Award,Won,en
Marc Webb,Deauville Film Festival,2017,Grand Special Prize,Nominated,en
Marc Webb,Heartland Film,2017,Truly Moving Picture Award,Won,en
Bruce Campbell,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,en
Bruce Campbell,Fangoria Chainsaw Awards,2017,Chainsaw Award,Nominated,en
Bruce Campbell,iHorror Awards,2017,iHorror Award,Won,en
